Date,year,Address,City,Alarm,Arrival,RT original,Responsetime,address_geo,lat,long
2011-07-11,2011,1860 County Home Road,Marion,03:54:00,04:03:44,00:09:44,9.44,"1860 County Home Road, Marion, Iowa",42.0938155,-91.5474102
2014-07-10,2014,3425 N. Alburnett Road,Marion,20:14:59,20:24:52,00:09:53,9.53,"3425 N. Alburnett Road, Marion, Iowa",42.110968,-91.616433
2014-04-27,2014,3462 Barnsley Circle,Marion,02:46:32,02:56:30,00:09:58,9.58,"3462 Barnsley Circle, Marion, Iowa",42.0566144,-91.6219643
2014-04-07,2014,3425 N. Alburnett Road,Marion,10:55:59,11:06:02,00:10:03,10.03,"3425 N. Alburnett Road, Marion, Iowa",42.110968,-91.616433
2013-10-14,2013,3366 Gilmore Road,Marion,16:14:30,16:24:35,00:10:05,10.05,"3366 Gilmore Road, Marion, Iowa",42.1077,-91.641161
2010-10-13,2010,1860 County Home Road,Marion,19:31:00,19:41:13,00:10:13,10.13,"1860 County Home Road, Marion, Iowa",42.0938155,-91.5474102
2010-09-18,2010,1350 Huntington Hills,Marion,10:32:10,10:42:52,00:10:42,10.42,"1350 Huntington Hills, Marion, Iowa",42.073853,-91.595314
2014-04-18,2014,1421 Martin Creek Road,Marion,16:11:07,16:21:49,00:10:42,10.42,"1421 Martin Creek Road, Marion, Iowa",42.007253,-91.502988
2010-10-31,2010,4305 Squaw Lane,Marion,18:10:00,18:20:58,00:10:58,10.58,"4305 Squaw Lane, Marion, Iowa",42.0125875,-91.5613469
2013-01-04,2013,3175 Baker Street,Marion,16:44:58,16:56:01,00:11:03,11.03,"3175 Baker Street, Marion, Iowa",42.05238,-91.577827
2010-09-09,2010,Cottage Grove Pkw/Dows Rd,Marion,23:16:30,23:28:04,00:11:34,11.34,"Cottage Grove Pkw/Dows Rd, Marion, Iowa",41.9884011,-91.5696704
2013-08-11,2013,2266 Oxley Road,Marion,17:40:00,17:51:45,00:11:45,11.45,"2266 Oxley Road, Marion, Iowa",42.026708,-91.4901749
2014-07-06,2014,Martin Creek/Travis Road,Marion,20:08:00,20:20:00,00:12:00,12,"Martin Creek/Travis Road, Marion, Iowa",42.0016144,-91.5451447
2014-04-27,2014,2100 County Home Road,Marion,15:30:00,15:45:00,00:15:00,15,"2100 County Home Road, Marion, Iowa",42.0938066,-91.5697998
2014-06-16,2014,Martin Creek/Prairie Chapel,Marion,21:45:00,22:00:00,00:15:00,15,"Martin Creek/Prairie Chapel, Marion, Iowa",42.033279,-91.5968958
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
