Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Physician_Profile_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,1500.00,08/07/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,11.23,11/25/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,21.85,12/06/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,3.39,12/11/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,2800.00,12/11/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,2050.00,11/14/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,25.09,12/11/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,1.69,11/04/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,335.26,10/12/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,305.67,12/11/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,305.10,09/18/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,26.56,12/06/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,37.29,08/09/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,18.05,12/06/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,36.12,10/17/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,2050.00,10/22/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,325.00,10/12/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,7.64,11/04/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,8.09,09/24/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,1200.00,12/11/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,84.00,12/11/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,97.75,12/06/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,56.14,11/14/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,76.28,11/25/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,36.16,10/22/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,680.00,10/12/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,38.89,09/18/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,2800.00,09/18/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,2050.00,12/06/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,2050.00,10/17/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,14.58,12/17/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,271.20,12/06/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,808.80,10/12/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,13.19,09/11/2013,GNRL
MARK,C,JOHNSON,"1800 SPRINGVIEW DR","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,2050.00,08/09/2013,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,2050,10/30/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,475.56,08/15/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,1300,04/22/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,137.45,01/25/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,95.56,03/26/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,250,12/18/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,151.76,11/18/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,1300,04/10/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,3250,08/19/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,3250,01/06/2014,GNRL
MARK,C,JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,12.03,03/31/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,13.21,06/03/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,1850,10/12/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,1400,10/07/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,975,03/26/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,10.23,08/11/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,2050,02/08/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,15.22,10/16/2014,GNRL
MARK,C,JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,90.16,03/28/2014,GNRL
MARK,C,JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,480,06/24/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,97.67,04/09/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,2050,11/18/2014,GNRL
MARK,C,JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,9.05,03/28/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,2.24,04/22/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,47.35,04/22/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Family Medicine",46454,"Takeda Pharmaceuticals U.S.A., Inc.",IL,100000000337,1150,05/16/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,12.84,06/20/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,127.36,08/15/2014,GNRL
MARK,"",JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"Eisai Inc.",NJ,100000000136,20.7,05/12/2014,GNRL
MARK,C,JOHNSON,"232 2nd St SE","","Mason City",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,14.49,11/18/2014,GNRL
MARK,"",JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"GlaxoSmithKline, LLC.",NC,100000005449,13.14,08/05/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,66.97,10/08/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,3.36,12/03/2014,GNRL
MARK,C,JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"LILLY USA, LLC",IN,100000000066,12.65,03/27/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Family Medicine",46454,"Takeda Pharmaceuticals U.S.A., Inc.",IL,100000000337,163.44,05/29/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Family Medicine",46454,"Takeda Pharmaceuticals America, Inc.",IL,100000000339,16.63,01/09/2014,GNRL
MARK,C,JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,13.21,08/19/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,29.68,11/19/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,104.16,12/02/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,18.03,04/10/2014,GNRL
MARK,C,JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,9.58,05/28/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Family Medicine",46454,"Takeda Pharmaceuticals U.S.A., Inc.",IL,100000000337,101.25,04/25/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,3250,04/23/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,291.2,03/07/2014,GNRL
MARK,C,JOHNSON,"232 2nd St SE","","Mason City",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Boehringer Ingelheim Pharmaceuticals, Inc.",CT,100000000234,16.55,06/05/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,313.04,03/26/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,23.7,04/09/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,14.73,03/17/2014,GNRL
MARK,C,JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,10.84,01/28/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Family Medicine",46454,"Takeda Pharmaceuticals U.S.A., Inc.",IL,100000000337,997.05,04/25/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"Janssen Pharmaceuticals, Inc",NJ,100000000232,10.13,02/18/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,78.75,11/12/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,22.77,03/07/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,136.64,04/09/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Family Medicine",46454,"Takeda Pharmaceuticals U.S.A., Inc.",IL,100000000337,165.09,04/26/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,3700,12/04/2014,GNRL
MARK,C,JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"SANOFI-AVENTIS U.S. LLC",NJ,100000000076,12.07,10/06/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,43.15,08/15/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,14.25,11/19/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,301.28,11/13/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,20.92,08/15/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,2800,11/13/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,14.77,12/05/2014,GNRL
MARK,"",JOHNSON,"910 N Eisenhower Ave","Ste 101","Mason City",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"Medtronic MiniMed, Inc.",MN,100000010391,19.65,03/27/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,16.32,03/26/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,16.91,07/01/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Family Medicine",46454,"Takeda Pharmaceuticals America, Inc.",IL,100000000339,1595,08/06/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,99,11/13/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Family Medicine",46454,"Takeda Pharmaceuticals America, Inc.",IL,100000000339,10.32,07/07/2014,GNRL
Mark,C,Johnson,"1000 4th St Sw","","Mason City",50401-2800,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine",46454,"AstraZeneca Pharmaceuticals LP",DE,100000000146,5.04,09/29/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,2050,09/09/2014,GNRL
MARK,C,JOHNSON,"1000 4TH ST SW","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"Novo Nordisk Inc",NJ,100000000144,14.34,06/27/2014,GNRL
MARK,C,JOHNSON,"910 N EISENHOWER AVE","","MASON CITY",50401,"Medical Doctor","Allopathic & Osteopathic Physicians/ Internal Medicine/ Endocrinology, Diabetes & Metabolism",46454,"LILLY USA, LLC",IN,100000000066,14.01,09/30/2014,GNRL
