Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Physician_Profile_ID,Category,Total_Amount_of_Payment_USDollars,General,Research
IVO,"",BEKAVAC,"1753 W RIDGEWAY AVE","STE 112",WATERLOO,50701-4588,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",208826,GNRL,3792.59,252,0
STEPHANUS,"VAN WYK",VILJOEN,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Neurological Surgery",1264010,GNRL,3789.24,26,0
Sarah,"",Mowry,"200 Hawkins Dr.","PFP 21164","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology",73711,GNRL,3784.55,32,0
JOSEPH,J,MERCHANT,"1111 DUFF AVE","",AMES,50010-5793,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology",1180135,GNRL,3776.8,13,0
DEBBIE,LOUISE,GIBBS,"1230 S IOWA AVE","",WASHINGTON,52353-1144,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",132112,GNRL,3768.92,371,0
JOHN,S,LOZIER,"330 LAUREL ST","SUITE 2200","DES MOINES",50314-3034,"Medical Doctor","Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Cardiology",1054878,GNRL,3763.4,20,0
ROBERT,"",BREWER,"1236 E Rusholme ST","Ste 300",Davenport,52803,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",642316,GNRL,3759.65,37,0
MATTHEW,JOHN,PRIHODA,"1230 S IOWA AVE","",WASHINGTON,52353-1144,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",189433,GNRL,3758.11,359,0
PHILIP,J,MORREALE,"4508 CHADWICK RD","","CEDAR FALLS",50613-7958,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery",231189,GNRL,3739.75,54,0
Larry,David,Swanger,"2020 Grand Avenue","","West Des Moines",50265,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",406445,GNRL,3738.45,9,0
LOUISE,M,CONVERY,"3509 E 29TH ST","","DES MOINES",50317-4253,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine",349301,GNRL,3715.98,309,0
GARY,"",EGGLESTON,"2550 MIDDLE RD STE 101","",BETTENDORF,52722,"Doctor of Dentistry","Dental Providers|Dentist|Endodontics",1072788,GNRL,3713.37,38,0
ANKUR,"",VYAS,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",204693,GNRL,3712.08,30,0
ARA,J,ROBINSON,"6921 HICKMAN RD","STE 2327",URBANDALE,50322-4805,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",73361,GNRL,3702.79,306,0
MATTHEW,PAUL,RAUEN,"6200 WESTOWN PKWY","","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Ophthalmology",731605,GNRL,3698.28,23,0
MEGAN,"",BRADY,"6001 WESTOWN PKWY","","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Trauma",198760,GNRL,3696.81,36,0
WILLIAM,C,JACOBSON,"12499 UNIVERSITY AVE","SUITE 210","DES MOINES",50325-8281,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine",125916,GNRL,3685.83,79,0
MICHAEL,TODD,KAFKA,"2720 STONE PARK BLVD","","SIOUX CITY",51104,"Medical Doctor","Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology",1136787,GNRL,3683.26,2,0
RASHEED,F,NEMER,"444 N MAIN ST","",AKRON,44310,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",156723,GNRL,3682.93,11,0
JAMES,T,REEDER,"250 S CRESCENT DR","","MASON CITY",50401-2926,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",267064,GNRL,3678.71,238,0
LISA,BROTHERS,ARBISSER,"777 TANGLEFOOT LN","",BETTENDORF,52722-1650,"Medical Doctor","Allopathic & Osteopathic Physicians|Ophthalmology",1004586,GNRL,3663.37,12,0
EDWARD,J,ZAJAC,"801 5TH ST","STE 410","SIOUX CITY",51102-1394,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",428473,GNRL,3663.36,86,0
SIMON,K,WRIGHT,"105 VALLEY WEST DR","","WEST DES MOINES",50265-3902,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology",169022,GNRL,3659.03,75,0
BETTAIAH,T,GOWDA,"5041 UTICA RIDGE RD","SUITE 100",DAVENPORT,52807-3480,"Medical Doctor","Other Service Providers/ Specialist",270241,GNRL,3642.29,55,0
HAMDI,"",SUKKARIEH,"200 HAWKINS DR","DEPARTMENT OF NEUROSURGERY","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Neurological Surgery",1167557,GNRL,3640.2,15,0
RACHEL,ANN,KNUDSON,"1111 6TH AVE","","DES MOINES",50314-2613,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",1035842,GNRL,3640.08,30,0
NICOLE,L,EHN,"1610 COLLINS ST","","WEBSTER CITY",50595-2623,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",97603,GNRL,3634.81,391,0
YASSER,"",SHAHEEN,"2745 LINCOLN WAY","",CLINTON,52732,"Medical Doctor","Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine",175784,GNRL,3626.66,13,0
CHRISTOS,MICHAEL,KASSIOTIS,"411 LAUREL ST","SUITE A250","DES MOINES",50314,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",34895,GNRL,3624.4,38,0
LEATRICE,A,OLSON,"3509 E 29TH ST","","DES MOINES",50317-4253,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine",292039,GNRL,3620.67,291,0
GERRY,F,FUNK,"200 Hawkins Dr Suite 21266","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Otolaryngology",404877,RSRCH,3614.55,0,3
ANAND,"",DESHMUKH,"1 EDMUNDSON PL","STE 306","COUNCIL BLUFFS",51503,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",136018,GNRL,3593.44,183,0
JOHN,B,DOOLEY,"5515 UTICA RIDGE RD","SUITE 600",DAVENPORT,52807-3928,"Medical Doctor","Allopathic & Osteopathic Physicians|Pain Medicine|Pain Medicine",195801,GNRL,3581.74,105,0
MICHAEL,N,MANKARIOUS,"638 S BLUFF BLVD","",CLINTON,52732-4742,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",75286,GNRL,3564.38,323,0
KAHLIL,JIHAD,ANDREWS,"202 10TH ST SE","","CEDAR RAPIDS",52403,"Medical Doctor","Allopathic & Osteopathic Physicians|Plastic Surgery",278617,GNRL,3560.0,27,0
WILLIAM,MICHAEL,RALSTON,"1610 W TOWNLINE ST","SUITE 110",CRESTON,50801,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",109511,GNRL,3556.81,18,0
KALYANA,"",SUNDARAM,"419 E Donald St","",Waterloo,50703,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",1217888,GNRL,3554.21,6,0
RICK,A,SHELMAN,"510 E BLOOMINGTON ST","","IOWA CITY",52245,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",751586,GNRL,3537.99,9,0
YEHUDITH,"",ASSOULINE-DAYAN,"200 HAWKINS DR","DEPARTMENT OF GASTROENTEROLOGY","IOWA CITY",52242-1009,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology",877988,GNRL,3536.77,18,0
MARK,ARTHUR,MILLEMAN,"3319 SPRING ST","",DAVENPORT,52807,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",205658,GNRL,3535.28,74,0
JONATHAN,M,RIPPENTROP,"1260 2ND AVE SE","","CEDAR RAPIDS",52403,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",72171,GNRL,3526.75,39,0
SREENIVAS,"",CHINTALAPANI,"5041 UTICA RIDGE RD","SUITE 100",DAVENPORT,52807-3480,"Medical Doctor","Other Service Providers/ Specialist",56983,GNRL,3520.33,40,0
LOUIS,C,KANTZAVELOS,"1223 S GEAR AVE","EASTMAN PLAZA SUITE 303","WEST BURLINGTON",52655-1682,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",128038,GNRL,3496.64,171,0
JAVIER,H,"CAMPOS TORRES","200 Hawkins Dr","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Anesthesiology",311679,GNRL,3484.56,8,0
STEVEN,P,HEDDINGER,"1221 PLEASANT","SUITE 100","DES MOINES",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",79801,GNRL,3477.03,74,0
ROY,PASCUAL,VENZON,"1002 4TH AVE SE","","CEDAR RAPIDS",52403,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",287089,GNRL,3473.15,21,0
ANDREW,L,COPE,"300 N 4TH AVE E STE 200","",NEWTON,50208-3122,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",267910,GNRL,3464.64,310,0
RAYMOND,J,HOHL,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology",1152526,GNRL,3426.21,6,0
Pamela,"",Davis,"4622 Progress Dr","Suite C",Davenport,52722,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Foot and Ankle Surgery",237940,GNRL,3424.84,20,0
EMAD,M,HASAN,"200 Hawkins Dr","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Neurological Surgery",900937,GNRL,3416.96,18,0
PATRICK,J,EDWARDS,"300 N 4TH AVE E","SUITE 200",NEWTON,50208-3155,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",260141,GNRL,3416.65,306,0
DANNY,T,LIU,"200 HAWKINS DR","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",125106,GNRL,3416.14,32,0
RONALD,P,BELIN,"1801 HICKMAN RD","","DES MOINES",50314,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery",231008,GNRL,3409.41,52,0
JAMES,ENOCH,PARTRIDGE,"1215 DUFF AVE","",AMES,50010,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",315756,GNRL,3407.41,34,0
DANIEL,ROBERT,KOLLMORGEN,"1212 PLEASANT ST STE 211","","DES MOINES",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology",154761,GNRL,3406.83,21,0
HIMANSHU,"",TANDON,"4150 KIMBALL AVE PO BOX 2758","",WATERLOO,50701,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",447477,GNRL,3397.82,24,0
KAVISH,"",ROHATGI,"2201 W BROADWAY","SUITE 9","COUNCIL BLUFFS",51501-3605,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",31894,GNRL,3388.14,264,0
JOUD,GHASSOUB,DIB,"419 E Donald St","",Waterloo,50703,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",46960,GNRL,3386.65,24,0
PAUL,R,HOLZWORTH,"2901 86TH ST","",URBANDALE,50322-4201,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",265185,GNRL,3376.05,121,0
Shiliang,"",Sun,"200 Hawkinds Dr","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology",583299,GNRL,3348.66,11,0
MOHAMMAD,A,BASHIR,"200 Hawkins Dr","","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology",1126343,GNRL,3344.57,17,0
YULIA,"",JOHNSON,"1504 N 1ST ST","",INDIANOLA,50125-3702,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",1144646,GNRL,3343.49,364,0
AARON,M,CHIZEK,"1875 MIDDLE RD","",BETTENDORF,52722,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",180963,GNRL,3333.5,39,0
ROGER,R,WALLER,"206 NORTH ARCADE","",MAQUOKETA,52060-2022,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",170649,GNRL,3332.94,270,0
KHAM,V,UNG,"1502 PIERCE ST","","SIOUX CITY",51105-1246,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery",236391,GNRL,3330.6,42,0
REID,PHILLIP,TURNER,"1415 WOODLAND AVE","SUITE 140","DES MOINES",50309-3203,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",230320,GNRL,3328.85,33,0
JEFFREY,VINCENT,NIELSEN,"830 4TH AVE SE","","CEDAR RAPIDS",52403,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",243782,GNRL,3324.09,55,0
PAUL,W,LOTTES,"1030 5TH AVE SE","STE 1700","CEDAR RAPIDS",52403,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",361257,GNRL,3311.2,287,0
DAVID,"",STOLTZ,"UNIVERSITY OF IOWA","200 HAWKINS DRIVE C33GH","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",447743,GNRL,3309.32,4,0
CORY,G,CHRISTIANSEN,"2751 NORTHGATE DR","","IOWA CITY",52245-9509,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",1071632,GNRL,3305.5,14,0
DAVID,"",PATTERSON,"2701 PRAIRIE MEADOW DR","","IOWA CITY",52242-8001,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine",712672,GNRL,3282.4,8,0
RAFAT,"",PADARIA,"1236 E RUSHOLME ST","STE 300",DAVENPORT,52803,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",294071,GNRL,3281.25,15,0
RITU,"",MUNJAL,"202 10TH STREET SE","","CEDAR RAPIDS",52403,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",1128607,GNRL,3277.28,32,0
JON,A,ROBKEN,"1236 E RUSHOLME ST","SUITE 300",DAVENPORT,52803-2473,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",306604,GNRL,3270.02,56,0
ABHISHAKE,"",KAAPURAALA,"1610 COLLINS ST","WEBSTER CITY MEDICAL CLINIC","WEBSTER CITY",50595-2623,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",220000,GNRL,3268.51,352,0
DEBENDRA,N,PATTANAIK,"800 KENYON RD","","FORT DODGE",50501,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology",546439,GNRL,3266.56,5,0
SARAH,ELIZABETH,HASKELL,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Critical Care Medicine",784311,GNRL,3254.71,6,0
CLINTON,THOMAS,BERRYMAN,"216 E CHARLES ST","",OELWEIN,50662-1940,"Doctor of Dentistry","Dental Providers|Dentist",405264,GNRL,3250.0,8,0
ERIC,M,PETERSON,"1115 S MARSHALL ST","",BOONE,50036-5304,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",305257,GNRL,3245.16,272,0
JOHN,E,LANCASTER,"900 BANK CT","","CENTER POINT",52213-9477,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",111950,GNRL,3235.33,257,0
WASSEF,"",KARROWNI,"202 10TH ST SE","STE 225","CEDAR RAPIDS",52403,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",903231,GNRL,3227.36,25,0
ANDREW,"",STANISLAV,"502 E REED ST","","RED OAK",51566,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist",274759,GNRL,3222.94,74,0
ISLAM,Mohamed,TAFISH,"152 W Dale St","",Waterloo,50703,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",119283,GNRL,3219.69,22,0
DAVID,G,GRATTON,"322 DENTAL SCIENCE S","","IOWA CITY",52242,"Doctor of Dentistry","Dental Providers|Dentist|Prosthodontics",361118,GNRL,3199.72,17,0
DAVID,"",ALMEIDA,"200 HAWKINS DR","","IOWA CITY",52242-1009,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Ophthalmology",631878,GNRL,3199.33,5,0
SYED,E,HUSAIN,"1212 PLEASANT ST","","DES MOINES",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Ophthalmology",215136,GNRL,3191.77,96,0
ROBERT,EUGENE,HARSON,"1228 E RUSHOLME ST STE 3020","",DAVENPORT,52803,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",15740,GNRL,3185.24,34,0
TIMOTHY,W,SWINTON,"412 E CHURCH ST","",MARSHALLTOWN,50158-2947,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",237452,GNRL,3179.16,253,0
KURT,R,VANDERPLOEG,"615 WASHINGTON ST","",PELLA,50219-1538,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",85405,GNRL,3176.49,107,0
PAUL,G,MANNING,"915 13TH AVE N","",CLINTON,52732-5067,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease",160329,GNRL,3173.27,140,0
GUSTAVO,"","AVILA ORTIZ","322 DENTAL SCIENCE BLDG S445 S","","IOWA CITY",52242,"Doctor of Dentistry","Dental Providers|Dentist|Periodontics",78847,GNRL,3150.75,13,0
RICKY,R,MCCORMICK,"1100 1ST ST E","",INDEPENDENCE,50644-3116,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",246537,GNRL,3146.71,314,0
KERRI,A,NOWELL,"200 10TH STREET SE","","CEDAR RAPIDS",52403-2404,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",114251,GNRL,3146.46,27,0
KENNETH,ALLEN,JONES,"201 S MARKET ST","",OTTUMWA,52501,"Doctor of Dentistry","Dental Providers|Dentist",274854,GNRL,3130.75,1,0
JONATHAN,M,FIALKOV,"1215 PLEASANT ST","","DES MOINES",50309,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",463529,GNRL,3130.41,30,0
MARGARET,A,SMOLLEN,"319 E BLOOMINGTON ST","","IOWA CITY",52245,"Medical Doctor","Allopathic & Osteopathic Physicians|Obstetrics & Gynecology",370516,RSRCH,3114.31,13,1
DANIEL,"",DIEKEMA,"200 HAWKINS DR",C60664,"IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease",451716,RSRCH,3111.26,0,2
MARK,WILLIAM,MITTAUER,"520 11TH ST NW","","CEDAR RAPIDS",52405,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",238532,GNRL,3106.85,32,0
ANDREW,G,NOWELL,"202 10TH STREET SE","","CEDAR RAPIDS",52403-2404,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",266154,GNRL,3103.98,30,0
BENJAMIN,"",VANRAALTE,"4334 E 53RD ST","",DAVENPORT,52807,"Medical Doctor","Other Service Providers/ Specialist",114114,GNRL,3103.93,35,0
DAVID,K,LARSON,"2000 SOUTH MAIN STREET","STE C",FAIRFIELD,52556-3739,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",86026,GNRL,3100.7,243,0
Lauri,Ann,Harsh,"5041 Utica Ridge Rd","",DAVENPORT,52807,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology",33913,GNRL,3086.58,9,0
KERRI,T,BARNES,"1018 N BOSTON WAY","",CORALVILLE,52241-3115,"Medical Doctor","Allopathic & Osteopathic Physicians|Urology",892943,GNRL,3082.9,53,0
JASON,P,SULLIVAN,"6001 WESTOWN PKWY","","WEST DES MOINES",50266-7702,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",302114,GNRL,3072.25,26,0
GARRY,"",WEIDE,"1111 6TH AVE","","DES MOINES",50314-2610,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery)",262009,GNRL,3071.58,18,0
MARK,"",ANDERSON,"UNIVERSITY OF IOWA","200 HAWKINS DRIVE","IOWA CITY",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology",268952,GNRL,3064.67,8,0
ELISA,"","TSO BOMGAARS","18146 BENT TREE ROAD","","COUNCIL BLUFFS",51503,"Medical Doctor","Other Service Providers/ Specialist",82918,GNRL,3063.84,6,0
CASEY,J,BOYLES,"2375 EDGEWOOD RD SW","","CEDAR RAPIDS",52404-4736,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",347617,GNRL,3063.4,296,0
COLLEEN,L,KEATING,"2815 EDGEWOOD RD SW","","CEDAR RAPIDS",52404-3258,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",103565,GNRL,3063.35,225,0
GREGORY,T,BOZEK,"2591 HOLIDAY RD","",CORALVILLE,52241-3039,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",171624,GNRL,3062.78,296,0
RADHA,M,RAO,"230 NEBRASKA ST","","SIOUX CITY",51101,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology",348829,GNRL,3059.0,225,0
RYAN,ANDREW,FLANNERY,"1230 S IOWA AVE","",WASHINGTON,52353-1144,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",95528,GNRL,3057.75,309,0
JOSEPH,MATTHEW,WANZEK,"3434 W BROADWAY","SUITE 100","COUNCIL BLUFFS",51501-3291,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",7316,GNRL,3056.06,189,0
MARTIN,E,AVERILL,"2102 KIMBALL AVE","",WATERLOO,50702-5037,"Doctor of Dentistry","Dental Providers|Dentist|General Practice",506933,GNRL,3047.5,7,0
Thomas,"",Ambrose,"405 E MAIN ST","",Marshalltown,50158,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",121349,GNRL,3035.91,48,0
Jennifer,Lynn,Kruger,"200 HAWKINS DR","","Iowa City",52242,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology",289974,GNRL,3034.74,6,0
JOSHUA,JAMES,ANDERSON,"1115 S MARSHALL ST","",BOONE,50036-5304,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",246174,GNRL,3032.86,213,0
JEFFREY,P,KILEY,"502 E REED ST","","RED OAK",51566,"Doctor of Podiatric Medicine","Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery",167485,GNRL,3031.6,56,0
PAUL,CHARLES,THOMAS,"900 BANK CT","","CENTER POINT",52213-9477,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",291843,GNRL,3023.92,244,0
ELLEN,CAROL,MILLER,"3225 WILLIAMS PKWY SW STE 1","","CEDAR RAPIDS",52404,"Doctor of Optometry","Eye and Vision Services Providers|Optometrist",1038686,GNRL,3012.81,11,0
ALLISON,E,TESTROET,"305 SOUTH HIGHWAY 69","",HUXLEY,50124-8095,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",71003,GNRL,2994.37,259,0
MARK,P,BAINBRIDGE,"1515 DELHI ST","SUITE 300",DUBUQUE,52001-6320,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Anesthesiology",425302,GNRL,2987.5,2,0
WALID,Y,SAAD,"1221 S GEAR AVE","","WEST BURLINGTON",52655-1679,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",1282164,GNRL,2984.33,63,0
KENNETH,ALBERT,CEARLOCK,"1030 5TH AVE SE","SUITE 1700","CEDAR RAPIDS",52403-2464,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",188374,GNRL,2983.97,239,0
SUSAN,K,BALCIULIS,"1004 STATE ST","",BETTENDORF,52722-4856,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",77191,GNRL,2978.87,195,0
PRASAD,R,PALAKURTHY,"1301 PENN AVE","STE 100","DES MOINES",50316-2350,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology",50510,GNRL,2977.01,77,0
HARMIT,"",SINGH,"801 HARMONY ST","SUITE 302","COUNCIL BLUFFS",51503-3106,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",312544,GNRL,2971.2,111,0
BENJAMIN,E,TUY,"804 KENYON RD","SUITE 320","FORT DODGE",50501-5742,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",136619,GNRL,2964.61,37,0
RUSSELL,ANDREW,DEGROOTE,"2730 PIERCE ST","","SIOUX CITY",51104,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",349206,GNRL,2960.03,8,0
JASON,ROBERT,KEONIN,"1823 HIGHWAY BLVD STE 5","",SPENCER,51301,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery",699476,GNRL,2957.42,10,0
JULIAN,"",CARLO,"200 HAWKINS DR","","IOWA CITY",52243-0001,"Medical Doctor","Allopathic & Osteopathic Physicians|Orthopaedic Surgery",254197,GNRL,2948.96,23,0
SPAS,V,KOTEV,"1005 PENNSYLVANIA AVE STE 207","",OTTUMWA,52501-6414,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine",176747,GNRL,2946.22,105,0
RONALD,R,MCHOSE,"507 14TH STREET","","DALLAS CENTER",50063,"Doctor of Osteopathy","Allopathic & Osteopathic Physicians|Family Medicine",348374,GNRL,2945.87,163,0
ANTHONY,V,LAZAR,"1223 S GEAR AVE","SUITE 109","WEST BURLINGTON",52655-1682,"Medical Doctor","Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease",324373,GNRL,2944.96,218,0
JOHN,"",STERN,"5950 UNIVERSITY AVE","STE 235","WEST DES MOINES",50266,"Medical Doctor","Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery",44794,GNRL,2939.96,32,0
PAUL,E,DUDLEY,"1614 DIAMOND STREET PL","",ONAWA,51040-1554,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",190543,GNRL,2937.97,234,0
CHRISTIAN,W,JONES,"1 EDMUNDSON PL","","COUNCIL BLUFFS",51503-4658,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",177758,GNRL,2932.97,246,0
"SUNDARA RAMESHWAR",REDDY,"MUNAGALA VENKATA","701 10TH ST SE","","CEDAR RAPIDS",52403-1251,"Medical Doctor","Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry",100763,GNRL,2929.85,236,0
AMY,E,ANDERSEN,"1765 LININGER LN","","NORTH LIBERTY",52317-2316,"Medical Doctor","Allopathic & Osteopathic Physicians|Family Medicine",314118,GNRL,2929.22,232,0
