Board/Commission,Member Name,City,County,Position,Term Begin,Term End↓,Gender,Party,Status
Consumer Advisory Council,Gary Clark,Huxley,STORY,Member,2015-07-16,2019-06-30,Male,Rep,A
Consumer Advisory Council,Mary Hunter,CLIVE,POLK,Member,2015-07-16,2019-06-30,Female,Rep,A
"Corrections, Board of",Richard LaMere Jr.,anamosa,JONES,Elector of State,2013-05-01,2017-04-30,Male,Rep,A
"Corrections, Board of",Rebecca Williams,Cedar Rapids,LINN,Elector of State,2013-05-01,2017-04-30,Female,None,A
"Corrections, Board of",Mary Chapman,Des Moines,POLK,Elector of State,2014-05-01,2018-04-30,Female,Dem,A
"Corrections, Board of",Lawrence Kudej,SWISHER,JOHNSON,Elector of State,2015-05-01,2019-04-30,Male,Rep,A
"Corrections, Board of",Lisa Hill,Johnston,POLK,Elector of State,2015-05-01,2019-04-30,Female,Rep,A
"Corrections, Board of",Michael Coleman,Waterloo,BLACK HAWK,Elector of State,2015-05-01,2019-04-30,Male,None,A
"Corrections, Board of",John Chalstrom,CHEROKEE,CHEROKEE,Elector of State,2015-05-01,2019-04-30,Male,Rep,A
"Cosmetology Arts and Sciences, Board of",Lois Leytem,DUBUQUE,DUBUQUE,Licensed Cosmotology Educator,2014-05-01,2017-04-30,Female,Dem,A
"Cosmetology Arts and Sciences, Board of",Jacquelyn Hein,Monticello,JONES,Licensed Electrologist,2014-05-01,2017-04-30,Female,Rep,A
"Cosmetology Arts and Sciences, Board of",Nicole Russell,Des Moines,POLK,Public Member,2014-05-01,2017-04-30,Female,None,A
"Cosmetology Arts and Sciences, Board of",Jeffrey Porter,Davenport,SCOTT,Licensed Cosmetologist,2014-05-01,2017-04-30,Male,Rep,A
"Cosmetology Arts and Sciences, Board of",Mary Clausen,WEBSTER CITY,HAMILTON,Licensed Cosmetologist,2014-05-01,2017-04-30,Female,Rep,A
"Cosmetology Arts and Sciences, Board of",Don Nguyen,Des Moines,POLK,Public Member,2015-05-01,2018-04-30,Male,None,A
"Cosmetology Arts and Sciences, Board of",Robert Thompson,Iowa City,JOHNSON,Licensed Cosmetologist,2016-05-01,2019-04-30,Male,Rep,A
County Finance Committee,Patricia Wright,Mason City,CERRO GORDO,"County Official 22,5k-80k Pop",2013-05-01,2017-04-30,Female,Dem,A
County Finance Committee,Janine Sulzner,Anamosa,JONES,"County Official 16,000-22,500",2013-05-01,2017-04-30,Female,Rep,A
County Finance Committee,David Farmer,Davenport,SCOTT,Certified Public Accountant / Governmental Accounting Experience,2015-06-23,2017-04-30,Male,None,A
County Finance Committee,Jane Heun,JEFFERSON,GREENE,"County Official <11,500",2015-05-01,2019-04-30,Female,Rep,A
County Finance Committee,Grant Veeder,WATERLOO,BLACK HAWK,"County Official > 80,000",2015-05-01,2019-04-30,Male,Dem,A
County Finance Committee,Russell Hopp,George,LYON,"County Official 11,500-16,000",2015-05-01,2019-04-30,Male,Rep,A
Credit Union Review Board,Janet Pepper,DES MOINES,POLK,Public Member,2014-05-01,2017-04-30,Female,Rep,A
Credit Union Review Board,Dave Cale,JOHNSTON,POLK,Credit Union Member,2015-05-01,2018-04-30,Male,Rep,A
Credit Union Review Board,Timothy Marcsisak,ATLANTIC,CASS,Credit Union Member,2015-05-01,2018-04-30,Male,Rep,A
Credit Union Review Board,Becky Zemlicka,Waukee,DALLAS,Credit Union Member,2015-05-01,2018-04-30,Female,None,A
Credit Union Review Board,Karyn Finn,Hudson,BLACK HAWK,Public Member,2016-05-01,2019-04-30,Female,Dem,A
Credit Union Review Board,Jeffrey Hayes,Cherokee,CHEROKEE,Credit Union Member,2016-05-01,2019-04-30,Male,Rep,A
Credit Union Review Board,Scott Zahnle,Ames,STORY,Credit Union Member,2016-05-01,2019-04-30,Male,Rep,A
Criminal & Juvenile Justice Planning Advisory Council,Mary Kovacevich,Osceola,CLARKE,Juvenile Justice Representative,2014-05-01,2018-04-30,Female,Rep,A
Criminal & Juvenile Justice Planning Advisory Council,Tony Thompson,Waterloo,BLACK HAWK,Local Official-county Sheriff,2014-05-01,2018-04-30,Male,Dem,A
Criminal & Juvenile Justice Planning Advisory Council,Thomas Walton,Waukee,DALLAS,Public Member,2014-05-01,2018-04-30,Male,Dem,A
Criminal & Juvenile Justice Planning Advisory Council,John Spinks,Windsor Heights,POLK,Juvenile Justice Representative,2014-05-01,2018-04-30,Male,Dem,A
Criminal & Juvenile Justice Planning Advisory Council,Mary Ingham,Clear Lake,CERRO GORDO,Crime Victim Rep,2014-05-01,2018-04-30,Female,None,A
Criminal & Juvenile Justice Planning Advisory Council,Michelle Leonard,Dallas Center,DALLAS,Local Official - Chief of Police,2014-05-01,2018-04-30,Female,Rep,A
Criminal & Juvenile Justice Planning Advisory Council,Mardi Allen,SPIRIT LAKE,DICKINSON,Local Official,2014-05-01,2018-04-30,Female,Rep,A
Criminal Justice Information Systems Advisory Council,Vacant,,,Dps Representative,2012-07-01,2015-06-30,Male,Rep,V
Criminal Justice Information Systems Advisory Council,Julie Miller,DES MOINES,POLK,State Public Defender,2014-07-01,2017-06-30,Female,Rep,A
Criminal Justice Information Systems Advisory Council,Darrel Mullins,Urbandale,POLK,Attorney General,2014-07-01,2017-06-30,Male,Dem,A
Criminal Justice Information Systems Advisory Council,Josh Halterman,Jefferson,GREENE,Transportation,2014-07-22,2017-06-30,Male,None,A
Criminal Justice Information Systems Advisory Council,Jerry Bartruff,North Liberty,JOHNSON,Corrections,2015-07-01,2018-06-30,Male,Dem,A
"Cultural Trust Board of Trustees, Iowa",Randy Lewis,Daveport,IOWA,Trustee,2015-05-01,2020-04-30,Male,Rep,A
"Cultural Trust Board of Trustees, Iowa",Tiffany Tauscheck,Clive,DALLAS,Trustee,2015-05-01,2020-04-30,Female,Dem,A
"Cultural Trust Board of Trustees, Iowa",Brandon Paulsen,Des Moines,POLK,Trustee,2016-05-01,2021-04-30,Male,Dem,A
"Cultural Trust Board of Trustees, Iowa",Connie Schmett,CLIVE,POLK,Trustee,2016-05-01,2021-04-30,Female,Rep,A
"Cultural Trust Board of Trustees, Iowa",Mary Ellen Kimball,OSCEOLA,CLARKE,Trustee,2016-05-01,2021-04-30,Female,Rep,A
Deaf Services Commission,Mark Hersch,DALLAS CENTER,DALLAS,Public Member,2013-05-01,2017-04-30,Male,None,A
Deaf Services Commission,Michael B Ballard,Boone,IOWA,Deaf Member,2016-05-01,2017-04-30,Male,Rep,A
Deaf Services Commission,Mary Dyer,Glenwood,MILLS,Deaf Member,2015-05-01,2019-04-30,Female,Dem,A
Deaf Services Commission,Nathaniel Garrels,Emmetsburg,PALO ALTO,Deaf Member,2015-06-24,2019-04-30,Male,Rep,A
Deaf Services Commission,William Felderman,Ankeny,POLK,Hard of Hearing Member,2016-05-01,2020-04-30,Male,Rep,A
Deaf Services Commission,Christina Herrin,Iowa City,JOHNSON,Public Member,2016-05-01,2020-04-30,Female,None,A
Deaf Services Commission,Jennifer Keaton,Mount Vernon,LINN,Deaf Member,2016-05-01,2020-04-30,Female,Dem,A
"Dentistry, Board of",Diane Meier,IOWA FALLS,HARDIN,Public Member,2014-05-01,2017-04-30,Female,Rep,A
"Dentistry, Board of",Steven Fuller,BONDURANT,POLK,Licensed Dentist,2014-05-01,2017-04-30,Male,Rep,A
"Dentistry, Board of",Mary Kelly Grief,DES MOINES,POLK,Dental Hygenist,2014-05-01,2017-04-30,Female,None,A
"Dentistry, Board of",William McBride,Dubuque,DUBUQUE,Licensed Dentist,2015-05-01,2018-04-30,Male,Dem,A
"Dentistry, Board of",Nancy Slach,WEST BRANCH,JOHNSON,Dental Hygienist,2015-05-01,2018-04-30,Female,None,A
"Dentistry, Board of",Lori Elmitt,JOHNSTON,POLK,Public Member,2015-05-01,2018-04-30,Female,Rep,A
"Dentistry, Board of",Steven Bradley,CASCADE,JONES,Licensed Dentist,2016-05-01,2019-04-30,Male,Rep,A
"Dentistry, Board of",Monica Foley,Bettendorf,SCOTT,Licensed Dentist,2016-05-01,2019-04-30,Female,Dem,A
"Dentistry, Board of",Thomas Jeneary,Lemars,PLYMOUTH,Licensed Dentist,2016-05-01,2019-04-30,Male,Rep,A
Dependent Adult Protective Advisory Council,Vacant,,,IA Caregivers Assc.,2009-11-23,2011-04-30,Female,Rep,V
Dependent Adult Protective Advisory Council,Vacant,,,IA Caregivers Assc.,2009-11-23,2011-04-30,Male,None,V
Dependent Adult Protective Advisory Council,Joann Young,Des Moines,POLK,Public Member,2013-05-01,2017-04-30,Female,Dem,A
Dependent Adult Protective Advisory Council,Maribel Slinde,Clive,POLK,Expertise- Social Work,2013-05-01,2017-04-30,Female,None,A
Dependent Adult Protective Advisory Council,Douglas Johnson,GRIMES,POLK,Expertise- Long Term Care,2013-05-01,2017-04-30,Male,Rep,A
Dependent Adult Protective Advisory Council,Timothy Leathers,WILTON,MUSCATINE,Expertise-law Enforcement,2013-05-01,2017-04-30,Male,Rep,A
Dependent Adult Protective Advisory Council,April Block,Des Moines,POLK,Public Member,2015-05-01,2019-04-30,Female,None,A
Dependent Adult Protective Advisory Council,George Dorsey,West Des Moines,POLK,Expertise-medicine,2015-05-28,2019-04-30,Male,Dem,A
"Developmental Disabilities Council, Iowa",Vacant,,,Provider/advocate,2008-07-01,2011-06-30,Male,Rep,V
"Developmental Disabilities Council, Iowa",Brian Wines,Norwalk,WARREN,Department of Human Services,2014-07-01,2017-06-30,Male,Dem,A
"Developmental Disabilities Council, Iowa",Meghan Miller,Winterset,MADISON,Maternal-child Health-title 5,2014-07-01,2017-06-30,Female,Dem,A
"Developmental Disabilities Council, Iowa",Marcy Davis,ANKENY,POLK,Nonprofit Provider / Advocate,2014-07-01,2017-06-30,Female,Rep,A
"Developmental Disabilities Council, Iowa",Clara Pearson,Iowa City,JOHNSON,DD Ctr/excellence,2014-07-01,2017-06-30,Female,Dem,A
"Developmental Disabilities Council, Iowa",Lisa Rockhill,ROCK RAPIDS,LYON,Central Point of Contact,2014-07-01,2017-06-30,Female,Rep,A
"Developmental Disabilities Council, Iowa",Trinette Winn,Keokuk,LEE,Family Member of Person with Disability,2014-07-01,2017-06-30,Female,None,A
"Developmental Disabilities Council, Iowa",Kelley Rice,Des Moines,POLK,Dept of Vocational Rehabilitation Services,2015-07-01,2018-06-30,Female,Dem,A
"Developmental Disabilities Council, Iowa",Steve Crew,Urbandale,DALLAS,Dept of Edu Rep,2015-07-01,2018-06-30,Male,Rep,A
"Developmental Disabilities Council, Iowa",Michelle Strawman,Des Moines,POLK,Parent of Person with Developmental Disability,2015-07-01,2018-06-30,Female,Rep,A
"Developmental Disabilities Council, Iowa",Elyn Holton-Dean,Burlington,DES MOINES,Family Member of Person with Disability,2015-07-01,2018-06-30,Female,None,A
"Developmental Disabilities Council, Iowa",Brienna Decker,Cedar Falls,BLACK HAWK,Family Member of Person with Developmental Disability,2015-07-01,2018-06-30,Female,None,A
"Developmental Disabilities Council, Iowa",Koki Nakagawa,Ames,STORY,Person with Development Disability,2015-07-01,2018-06-30,Male,None,A
"Developmental Disabilities Council, Iowa",Kristine Dreckman,West Des Moines,IOWA,Family Member of Person with Development Disabilities,2015-07-01,2018-06-30,Female,Dem,A
"Developmental Disabilities Council, Iowa",Joel Wulf,Des Moines,POLK,Older Americans Act Representative,2015-07-01,2018-06-30,Male,Dem,A
"Developmental Disabilities Council, Iowa",Hugh Kelly,Sigourney,KEOKUK,Person with Development Disability,2016-07-01,2019-06-30,Male,Dem,A
"Developmental Disabilities Council, Iowa",Allen Fagerlund,Marshalltown,MARSHALL,Family Member of Person with Disability,2016-07-01,2019-06-30,Male,Rep,A
"Developmental Disabilities Council, Iowa",Roger Girard,Marion,LINN,Person with Development Disability,2016-07-01,2019-06-30,Male,None,A
"Developmental Disabilities Council, Iowa",Rick Samson,Des Moines,POLK,Person with Development Disability,2016-07-01,2019-06-30,Male,Dem,A
"Developmental Disabilities Council, Iowa",Aaron Anderson,MASON CITY,CERRO GORDO,Person with Development Disability,2016-07-01,2019-06-30,Male,None,A
"Developmental Disabilities Council, Iowa",Jason Goulden,Cedar Falls,BLACK HAWK,Person with Development Disability,2016-07-01,2019-06-30,Male,None,A
"Developmental Disabilities Council, Iowa",Mark Schneider,Wellman,WASHINGTON,Parent of Person with Disability,2016-07-01,2019-06-30,Male,Rep,A
"Developmental Disabilities Council, Iowa",Tai Tomasi,Des Moines,POLK,Protection & Advocacy Rep/Family Member of PWD,2016-07-01,2019-06-30,Female,Dem,A
"Developmental Disabilities Council, Iowa",Robert Fisher,Adel,DALLAS,Person with Development Disability,2016-07-01,2019-06-30,Male,Rep,A
"Dietetics, Board of",Vacant,,,Lic. Dietician Educator,2010-05-01,2013-04-30,Female,Rep,V
"Dietetics, Board of",Daniel Deutschman,PELLA,MARION,Public Member,2014-05-01,2017-04-30,Male,Rep,A
"Dietetics, Board of",Stacey Loftus,MISSOURI VALLEY,HARRISON,Licensed Dietitian- Community,2014-05-01,2017-04-30,Female,None,A
"Dietetics, Board of",Brian Smith,Des Moines,POLK,Licensed Dietician-hospital,2015-05-01,2018-04-30,Male,Rep,A
"Dietetics, Board of",Steven Kury,WEST DES MOINES,POLK,Public Member,2015-05-01,2018-04-30,Male,None,A
Drug Policy Advisory Council,Jennifer Miller,Marshalltown,MARSHALL,Prosecuting Attorney,2013-05-01,2017-04-30,Female,Rep,A
Drug Policy Advisory Council,Jason Sandholdt,Knoxville,MARION,IA State Sheriffs & Deputies Nominee,2014-05-01,2018-04-30,Male,Rep,A
Drug Policy Advisory Council,Matthew Harkin,Norwalk,WARREN,IA State Police Assc.,2014-05-01,2018-04-30,Male,Dem,A
Drug Policy Advisory Council,Warren Hunsberger,Clive,DALLAS,Substance Abuse Treatment Director,2015-05-01,2019-04-30,Male,None,A
Drug Policy Advisory Council,Jane Larkin,Ames,STORY,Lic Sub Abuse Specialist,2015-05-01,2019-04-30,Female,Dem,A
Drug Policy Advisory Council,Christina Wilson,Johnston,POLK,Certified Substance Abuse Prevention Specialist,2016-05-01,2020-04-30,Female,Rep,A
Drug Policy Advisory Council,David Lorenzen,Waukee,DALLAS,IA Association of Chiefs of Police Nominee,2016-05-01,2020-04-30,Male,Rep,A
"Early ACCESS, Iowa Council for",Vacant,,,Signatory-DHS,2007-07-01,2010-06-30,Male,Dem,V
"Early ACCESS, Iowa Council for",Vacant,,,Signatory- Univ. of Iowa,2009-04-02,2011-06-30,Female,Dem,V
"Early ACCESS, Iowa Council for",Kasey Vermillion,Clive,POLK,Parent (child under 6),2014-07-01,2017-06-30,Female,Rep,A
"Early ACCESS, Iowa Council for",Martha Andera,CRESCO,HOWARD,Member @ Large,2014-07-01,2017-06-30,Female,Rep,A
"Early ACCESS, Iowa Council for",Marcus Johnson-Miller,Altoona,POLK,Signatory-IDPH,2014-09-15,2017-06-30,Male,Dem,A
"Early ACCESS, Iowa Council for",Kim Thomas,URBANDALE,POLK,Public Provider,2014-07-01,2017-06-30,Female,Rep,A
"Early ACCESS, Iowa Council for",Angela Hance,CRESTON,UNION,Public Provider,2014-07-01,2017-06-30,Female,Rep,A
"Early ACCESS, Iowa Council for",Janet Stauss,OKOBOJI,DICKINSON,Headstart,2014-07-01,2017-06-30,Female,Rep,A
"Early ACCESS, Iowa Council for",Laurie Jeans,Davenport,SCOTT,Personnel Preparation,2014-07-01,2017-06-30,Female,Dem,A
"Early ACCESS, Iowa Council for",Stacy Kramer,Hawarden,SIOUX,Parent,2014-07-01,2017-06-30,Female,None,A
"Early ACCESS, Iowa Council for",Stephanie peters,des moines,POLK,Parent,2015-12-08,2018-06-30,Female,Dem,A
"Early ACCESS, Iowa Council for",Shari Huecksteadt,BETTENDORF,SCOTT,Early Access Regional Coordinator,2015-07-01,2018-06-30,Female,Dem,A
"Early ACCESS, Iowa Council for",Doug Penno,Janesville,BREMER,AEA Representative,2015-07-01,2018-06-30,Male,None,A
"Early ACCESS, Iowa Council for",Kimberly Villotti,Waukee,DALLAS,Signatory - Ed,2015-07-01,2018-06-30,Female,None,A
"Early ACCESS, Iowa Council for",Ryan Allen,Sioux City,WOODBURY,Parent,2015-12-08,2018-06-30,Male,None,A
"Early ACCESS, Iowa Council for",Patrick Judkins,Long Grove,SCOTT,Parent,2015-12-08,2018-06-30,Male,None,A
"Early ACCESS, Iowa Council for",Kevin Koester,ANKENY,POLK,Legislator,2015-07-01,2018-06-30,Male,Rep,A
"Early ACCESS, Iowa Council for",Mary Butler,WEST DES MOINES,POLK,Signatory- Insurance Division,2015-07-01,2018-06-30,Female,Dem,A
"Early ACCESS, Iowa Council for",Amanda Kleese,Washington,WASHINGTON,Provider,2015-07-01,2018-06-30,Female,None,A
"Early ACCESS, Iowa Council for",Jeffrey Anderson,West Des Moines,POLK,Early Childhood Iowa Rep,2016-07-01,2019-06-30,Male,Dem,A
"Early ACCESS, Iowa Council for",Kristle Davis,Holland,GRUNDY,Private Provider- Child Care Provider,2016-07-01,2019-06-30,Female,Rep,A
"Early ACCESS, Iowa Council for",Paula Connolly,WEST DES MOINES,POLK,Parent,2016-07-01,2019-06-30,Female,Dem,A
"Early ACCESS, Iowa Council for",Debra Runau Matzat,CEDAR RAPIDS,LINN,Private Provider,2016-07-01,2019-06-30,Female,None,A
"Early ACCESS, Iowa Council for",Kristie Vasey,Des Moines,POLK,Private Provider,2016-07-01,2019-06-30,Female,Dem,A
Early Childhood Iowa State Board,James Christensen,WATERLOO,BLACK HAWK,Congressional District 1,2014-05-01,2017-04-30,Male,Rep,A
Early Childhood Iowa State Board,David Arens,Windsor Heights,POLK,Congressional District 3,2014-05-01,2017-04-30,Male,Rep,A
Early Childhood Iowa State Board,Terry Harrmann,Des Moines,POLK,Congressional District 3,2015-05-01,2017-04-30,Male,Rep,A
Early Childhood Iowa State Board,Robert Ockerman,ADEL,DALLAS,Congressional District 3,2015-05-01,2018-04-30,Male,None,A
Early Childhood Iowa State Board,Katherine Averill,Fort Dodge,WEBSTER,Congressional District 3,2015-05-01,2018-04-30,Female,Rep,A
Early Childhood Iowa State Board,Betty Zan,Cedar Falls,BLACK HAWK,Congressional District 1,2015-05-01,2018-04-30,Female,Dem,A
Early Childhood Iowa State Board,Shaun Ward Taylor,Waukee,DALLAS,Congressional District 4,2015-05-01,2018-04-30,Female,Dem,A
Early Childhood Iowa State Board,Michael Bunde,DENISON,CRAWFORD,Congressional District 4,2015-05-01,2018-04-30,Male,None,A
Early Childhood Iowa State Board,Jean Stadtlander,Manning,CARROLL,Congressional District 4,2015-05-01,2018-04-30,Female,Rep,A
Early Childhood Iowa State Board,Leone Junck,OGDEN,BOONE,Congressional District 4,2015-05-01,2018-04-30,Female,Rep,A
Early Childhood Iowa State Board,Sigrid Lane,Waterloo,BLACK HAWK,Congressional District 1,2015-05-01,2018-04-30,Female,Rep,A
Early Childhood Iowa State Board,Brook Rosenberg,Des Moines,POLK,Congressional District 3,2015-05-01,2018-04-30,Male,Rep,A
Early Childhood Iowa State Board,Judy Janning-Reicks,Pella,MARION,Congressional District 2,2016-05-01,2019-04-30,Female,Dem,A
Early Childhood Iowa State Board,Richard Clewell,DAVENPORT,SCOTT,Congressional District 2,2016-05-01,2019-04-30,Male,Dem,A
Early Childhood Iowa State Board,Elizabeth Colby Plautz,Fort Dodge,WEBSTER,Congressional District 4,2016-05-01,2019-04-30,Female,Dem,A
Economic Development Authority,Nicholas Chilcoat,Clive,POLK,CD 3,2016-10-17,2017-04-30,Male,None,A
Economic Development Authority,Larry Den Herder,SIOUX CENTER,SIOUX,CD 4,2013-05-01,2017-04-30,Male,Rep,A
Economic Development Authority,Delia Meier,ELDRIDGE,SCOTT,CD 2,2013-05-01,2017-04-30,Female,Rep,A
Economic Development Authority,Dawn Ainger,HIAWATHA,LINN,CD 1,2014-05-01,2018-04-30,Female,Rep,A
Economic Development Authority,Linda Crookham-Hansen,Oskaloosa,MAHASKA,CD 2,2014-05-01,2018-04-30,Female,Rep,A
Economic Development Authority,Bruce Lehrman,Cedar Rapids,LINN,CD 1,2016-10-17,2018-04-30,Male,Rep,A
Economic Development Authority,Christian Murray,Ankeny,POLK,CD 3,2014-05-01,2018-04-30,Male,Rep,A
Economic Development Authority,Jennifer Cooper,Des Moines,POLK,CD 3,2015-05-01,2019-04-30,Female,Dem,A
Economic Development Authority,David Bernstein,SIOUX CITY,WOODBURY,CD 4,2015-05-01,2019-04-30,Male,Dem,A
Economic Development Authority,Daniel White,DUBUQUE,DUBUQUE,CD 1,2015-05-01,2019-04-30,Male,Dem,A
Economic Development Authority,Lisa Hull,Clarinda,PAGE,CD 3,2015-05-01,2019-04-30,Female,None,A
"Economic Progress, Iowa Partnership on",Vacant,,,Member,2011-11-01,2012-10-31,Female,Rep,V
"Economic Progress, Iowa Partnership on",Vacant,,,Member,2011-11-01,2012-10-31,Male,Rep,V
"Economic Progress, Iowa Partnership on",Vacant,,,Member,2011-11-01,2012-10-31,Male,Dem,V
"Economic Progress, Iowa Partnership on",Vacant,,,Member,2011-11-01,2012-10-31,Male,Rep,V
"Economic Progress, Iowa Partnership on",Vacant,,,Member,2011-11-01,2012-10-31,Male,Rep,V
"Economic Progress, Iowa Partnership on",Daniel Houston,West Des Moines,POLK,Member,2016-04-14,2017-10-31,Male,Rep,A
"Economic Progress, Iowa Partnership on",Lori Schaefer-Weaton,fairfield,JEFFERSON,Member,2016-04-14,2017-10-31,Female,Rep,A
"Economic Progress, Iowa Partnership on",William Fehrman,DES MOINES,POLK,Member,2016-04-14,2017-10-31,Male,Dem,A
"Economic Progress, Iowa Partnership on",Paul Schickler,DES MOINES,POLK,Member,2016-04-14,2017-10-31,Male,None,A
"Economic Progress, Iowa Partnership on",STEVE SCHUSTER,LE MARS,PLYMOUTH,Member,2016-04-14,2017-10-31,Male,None,A
"Economic Progress, Iowa Partnership on",Debra Janssen,Des Moines,POLK,Member,2016-04-17,2017-10-31,Female,Dem,A
Education Commission of the States,Vacant,,,Governor's Appointee,2011-01-14,2015-01-13,,,V
Education Commission of the States,Vacant,,,Governor's Appointee,2011-01-14,2015-01-13,,,V
"Education, State Board of",Nishimwe Robert,Des Moines,POLK,Non-voting Student,2016-05-11,2017-04-30,Male,None,A
"Education, State Board of","William ""Mike"" May",SPIRIT LAKE,DICKINSON,Registered Voter,2012-05-01,2018-04-30,Male,Rep,A
"Education, State Board of","Charles Edwards, Jr",DES MOINES,POLK,Registered Voter,2012-05-01,2018-04-30,Male,Dem,A
"Education, State Board of",Diane Crookham-Johnson,OSKALOOSA,MAHASKA,Registered Voter,2012-05-01,2018-04-30,Female,Rep,A
"Education, State Board of",Angela English,Dyersville,DUBUQUE,Reigstered Voter,2014-05-01,2020-04-30,Female,Dem,A
"Education, State Board of",MIchael Bearden,Gladbrook,TAMA,Registered Voter,2014-05-01,2020-04-30,Male,Rep,A
"Education, State Board of",Mary Ellen Miller,Corydon,WAYNE,Community College-reg Voter,2014-05-01,2020-04-30,Female,Rep,A
"Education, State Board of",Brooke Miller,Des Moines,POLK,Registered Voter,2014-05-01,2020-04-30,Female,Dem,A
"Education, State Board of",michael knedler,Council Bluffs,POTTAWATTAMIE,Community College Rep.,2016-05-01,2022-04-30,Male,Rep,A
"Education, State Board of",Bettie Bolar,Marshalltown,MARSHALL,Community College-reg Voter,2016-05-01,2022-04-30,Female,Dem,A
"Educational Examiners, State Board of",Vacant,,,Lic. Educator-teacher,2009-05-01,2013-04-30,Male,Rep,V
"Educational Examiners, State Board of",Mary Overholtzer,TINGLEY,RINGGOLD,Lic Edu-teacher,2013-05-01,2017-04-30,Female,Rep,A
"Educational Examiners, State Board of",Andrew Pattee,Cedar Falls,BLACK HAWK,Licensed Educator - Administrator/principal Ms,2013-05-01,2017-04-30,Male,None,A
"Educational Examiners, State Board of",Erin Schoening,Underwood,POTTAWATTAMIE,Licensed Edu-teacher,2014-08-29,2017-04-30,Female,Dem,A
"Educational Examiners, State Board of",Kathy Behrens,Carroll,CARROLL,Licensed Educator-teacher,2015-05-28,2018-04-30,Female,None,A
"Educational Examiners, State Board of",Sara Arnold,Vinton,BENTON,Licensed Educator-teacher,2014-05-01,2018-04-30,Female,Dem,A
"Educational Examiners, State Board of",Larry Hill,THOMPSON,WINNEBAGO,Licensed Educator - Administrator / Superintendent,2015-05-01,2019-04-30,Male,Rep,A
"Educational Examiners, State Board of",Katherine Schmidt,Norwalk,WARREN,Public Member- School Board,2016-07-01,2019-04-30,Female,None,A
"Educational Examiners, State Board of",Dan Dutcher,Waukee,DALLAS,Public Member,2015-05-01,2019-04-30,Male,Rep,A
"Educational Examiners, State Board of",Jay Prescott,Urbandale,POLK,Lic Edu-admin,2016-05-01,2020-04-30,Male,Rep,A
"Educational Examiners, State Board of",Anne Sullivan,Des Moines,POLK,Lic Edu-admin,2016-05-01,2020-04-30,Female,None,A
"Educational Opportunity for Military Children, Interstate Commission on",Vacant,,,Exec. Branch Rep.,2012-07-01,2016-06-30,,,V
"Educational Opportunity for Military Children, Interstate Commission on",Martha Kester,DES MOINES,POLK,Mil. Install. Rep.,2014-07-01,2018-06-30,Female,Rep,A
Electrical Examining Board,Vacant,,,Licensed Electrical Engineer,2010-05-01,2013-04-30,Male,Rep,V
Electrical Examining Board,Vacant,,,Public Utility Rep,2010-05-01,2013-04-30,Female,None,V
Electrical Examining Board,Vacant,,,Master Electrician/ Electrical Contractor - Union,2012-05-01,2015-04-30,Male,Rep,V
Electrical Examining Board,Jeffrey Quigle,West Des Moines,POLK,State Fire Marshall,2014-05-01,2017-04-30,Male,None,A
Electrical Examining Board,Marg Stoldorf,Red Oak,MONTGOMERY,Public Member -non - Union,2014-06-17,2017-04-30,Female,Rep,A
Electrical Examining Board,Allen DeHeer,Winterset,MADISON,Journeyman Electrician -union,2014-06-17,2017-04-30,Male,None,A
Electrical Examining Board,Emily Wuebker,Afton,UNION,Public Member -union,2014-06-17,2017-04-30,Female,None,A
Electrical Examining Board,Todd Cash,Mason City,CERRO GORDO,Master Electrician/Electrical Contractor - Non Union,2015-05-01,2018-04-30,Male,Rep,A
Electrical Examining Board,John Claeys,Blue Grass,SCOTT,Electrical Inspector,2016-05-01,2019-04-30,Male,Rep,A
Electrical Examining Board,Kyle Barnhart,Muscatine,MUSCATINE,Journeyman Electrician - Non Union,2016-05-01,2019-04-30,Male,Rep,A
Electrical Examining Board,David Guthrie,Grimes,POLK,Building Official,2016-05-01,2019-04-30,Male,Rep,A
Elevator Safety Board,Wayne Sims,DES MOINES,POLK,Install-repair Workers,2013-05-01,2017-04-30,Male,Rep,A
Elevator Safety Board,Kerry Dixon,Ames,STORY,Building Manager,2016-05-01,2017-04-30,Female,Dem,A
Elevator Safety Board,Kristine Kesterson,WILLIAMSBURG,IOWA,Servicing Company,2013-05-01,2017-04-30,Female,Rep,A
Elevator Safety Board,Justin Carleton,Ankeny,POLK,Manufacturing Company,2014-05-01,2018-04-30,Male,None,A
Elevator Safety Board,Peggy VandenBerg,Albia,MONROE,Local Government Representativ,2016-05-01,2018-04-30,Female,Dem,A
Elevator Safety Board,Todd Christensen,Des Moines,POLK,Manufacturing Company,2014-05-01,2018-04-30,Male,Dem,A
Elevator Safety Board,Amy Infelt,CORALVILLE,JOHNSON,Licensed Mechanical Engineer,2015-05-01,2019-04-30,Female,Rep,A
Elevator Safety Board,Marvin Schumacher,Denver,BREMER,Servicing Company,2015-05-01,2019-04-30,Male,Rep,A
Emergency Response Commission,Vacant,,,Fire & Service Emergency Council - non-voting,,2010-04-30,,,V
Emergency Response Commission,Vacant,,,Industry SC - non-voting,2010-05-01,2013-04-30,Male,Rep,V
Emergency Response Commission,Janet Gastineau,URBANDALE,POLK,DNR - voting,2015-05-01,2018-04-30,Female,Rep,A
Emergency Response Commission,Cord Overton,West Des Moines,POLK,IGOV Designee -non-voting,2015-05-01,2018-04-30,Male,Rep,A
